batch-16-acum-1,batch-16-acum-2,batch-4-acum-1,batch-32-acum-1,batch-4-acum-4,batch-8-acum-1,batch-2-acum-1,batch-2-acum-8
6.832872,7.286154,7.24087,6.987519,7.368708,7.096502,7.278193,7.403255
6.803092,7.235065,7.294368,6.932501,7.320988,7.150947,7.264077,7.350673
6.730446,7.256418,7.222116,6.944016,7.268611,7.169926,7.136878,7.303456
6.762111,7.219034,7.271447,6.909293,7.281056,7.141574,7.24179,7.312074
6.742596,7.190532,7.24679,6.875323,7.275803,7.111877,7.112344,7.307005
6.65764,7.197173,7.175799,6.880835,7.223826,7.04252,7.154247,7.254875
6.722747,7.204618,7.221753,6.888043,7.257083,7.030312,7.151955,7.29077
6.663169,7.161264,7.175736,6.832173,7.209899,7.044073,7.06793,7.244789
6.703716,7.133972,7.192235,6.820179,7.240207,7.010868,7.108337,7.27488
6.670993,7.17155,7.040678,6.845365,7.229462,6.977095,7.219269,7.267057
6.662636,7.164013,7.130752,6.833602,7.211315,7.025318,7.043382,7.245811
6.612124,7.167493,7.184599,6.836344,7.162004,6.920197,7.101274,7.196989
6.608573,7.150772,7.039098,6.806883,7.182126,6.945549,7.227116,7.21346
6.548292,7.105872,7.119123,6.760351,7.111331,7.032418,7.27193,7.149512
6.598346,7.092317,7.041603,6.747632,7.158659,6.971578,6.968668,7.193479
6.560073,7.10682,7.189194,6.756502,7.148222,6.898524,7.186773,7.17772
6.618744,7.074224,7.004933,6.703363,7.194659,6.933404,6.92035,7.228794
6.504677,7.069708,7.031594,6.708113,7.079698,6.981977,6.930341,7.117681
6.528296,7.014307,7.120962,6.654042,7.111845,6.940339,6.94171,7.147864
6.56338,7.043267,7.074602,6.687395,7.155655,6.846289,6.886265,7.18747
6.529955,7.009142,7.028958,6.630736,7.112915,6.866959,7.073598,7.147355
6.515477,7.024382,7.007942,6.656512,7.112907,6.904744,7.118956,7.147906
6.480519,7.042345,6.999448,6.665605,7.073544,6.822903,6.848271,7.111233
6.441064,6.984662,6.921577,6.612104,7.066164,6.848582,7.052426,7.097011
6.503569,6.988568,7.009495,6.598924,7.107148,6.816976,6.829618,7.141488
6.424756,6.946914,6.972383,6.571358,7.020121,6.838215,6.828552,7.058385
6.421023,6.953676,6.947011,6.579431,7.030466,6.789739,6.934039,7.063969
6.404406,6.894713,7.00905,6.515013,7.008842,6.816134,7.007102,7.046329
6.331759,6.908985,6.938781,6.530498,6.959466,6.802603,6.895768,6.994259
